lag_days,r,err,p_local,n_pairs,corr_method,shuffle_method,pc_column,p_global,p_zero_local,p_zero_global
-600.0,-0.14692005487045914,0.010315378237824229,0.000999000999000999,10226,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-550.0,-0.15102748946979364,0.010270932256848511,0.000999000999000999,10276,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-500.0,-0.13890706470147393,0.010065516670708867,0.000999000999000999,10326,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-450.0,-0.12798077372558586,0.009967716181655158,0.000999000999000999,10376,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-400.0,-0.1027594961454393,0.009921755143704077,0.000999000999000999,10426,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-350.0,-0.07771371505009397,0.009806881547056346,0.000999000999000999,10476,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-300.0,-0.06359373767967831,0.009667651880263813,0.000999000999000999,10526,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-250.0,-0.04075106038857723,0.009545310649054003,0.000999000999000999,10576,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-200.0,-0.01273635575162242,0.009486875583755177,0.18181818181818182,10626,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-150.0,4.6323903349100266e-05,0.009448916773857887,0.994005994005994,10676,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-100.0,-0.03496212899846805,0.009572711572031855,0.000999000999000999,10726,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
-50.0,-0.10738443681529854,0.009570524669506201,0.000999000999000999,10776,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
0.0,-0.11817793992200187,0.009402569089976453,0.000999000999000999,10825,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
50.0,-0.04413386220420758,0.00930070822898436,0.000999000999000999,10775,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
100.0,0.012129856541897464,0.009338020179823022,0.1958041958041958,10725,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
150.0,0.011251980878934784,0.009452426520469173,0.24275724275724275,10675,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
200.0,0.008957269944026945,0.009439785033329297,0.34865134865134867,10625,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
250.0,0.015998778584481704,0.009367397532447842,0.08791208791208792,10575,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
300.0,0.02288170007930227,0.009313927243832166,0.017982017982017984,10525,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
350.0,0.02739015324729904,0.009364657466192134,0.003996003996003996,10475,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
400.0,0.02853135967410014,0.009340894723720098,0.002997002997002997,10425,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
450.0,0.032685662850303075,0.009296081391013473,0.000999000999000999,10375,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
500.0,0.019661096414725552,0.009330993582959777,0.04195804195804196,10325,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
550.0,-0.022732431632121256,0.009320353628736242,0.02097902097902098,10275,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
600.0,-0.06326568590793015,0.00941914449798932,0.000999000999000999,10225,spearman,permute,PC2,0.000999000999000999,0.000999000999000999,0.000999000999000999
